,,Número de sucessos,,,,,,,,,,Número de sucessos,,,,,,,,,
Número de d20,DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10),DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10)
3,,66.88% (34.65%),32.23% (22.05%),10.18% (08.14%),02.04% (01.80%),00.24% (00.23%),00.01% (00.01%),,,,,,72.32% (34.43%),37.90% (25.27%),12.62% (10.10%),02.52% (02.25%),00.27% (00.26%),00.01% (00.01%),,,,
4,,74.89% (30.28%),44.60% (25.38%),19.22% (13.32%),05.90% (04.63%),01.26% (01.08%),00.18% (00.17%),00.02% (00.02%),,,,,79.82% (28.30%),51.53% (27.58%),23.95% (16.23%),07.72% (06.05%),01.67% (01.44%),00.23% (00.21%),00.02% (00.02%),,,
5,,80.50% (25.58%),54.92% (25.96%),28.95% (17.35%),11.60% (08.10%),03.50% (02.71%),00.78% (00.66%),00.13% (00.11%),00.01% (00.01%),,,,84.91% (22.66%),62.26% (26.67%),35.59% (20.30%),15.29% (10.46%),04.83% (03.73%),01.10% (00.92%),00.17% (00.16%),00.02% (00.02%),,
6,,84.60% (21.29%),63.31% (24.86%),38.45% (19.89%),18.56% (11.50%),07.06% (04.96%),02.11% (01.62%),00.49% (00.40%),00.09% (00.07%),00.01% (00.01%),,,88.53% (17.97%),70.56% (24.19%),46.37% (22.15%),24.22% (14.38%),09.84% (06.77%),03.07% (02.34%),00.72% (00.60%),00.13% (00.11%),00.02% (00.01%),
7,,87.70% (17.61%),70.09% (22.87%),47.22% (21.03%),26.19% (14.36%),11.84% (07.50%),04.33% (03.05%),01.28% (00.98%),00.30% (00.25%),00.06% (00.05%),00.01% (00.01%),,91.17% (14.21%),76.96% (21.13%),55.84% (22.27%),33.57% (17.21%),16.36% (09.98%),06.38% (04.41%),01.97% (01.49%),00.48% (00.39%),00.09% (00.08%),00.01% (00.01%)
8,,90.09% (14.53%),75.56% (20.50%),55.05% (21.08%),33.98% (16.44%),17.54% (10.01%),07.53% (04.85%),02.68% (01.89%),00.79% (00.60%),00.19% (00.15%),00.04% (00.03%),,93.15% (11.24%),81.92% (18.03%),63.89% (21.21%),42.67% (18.81%),23.86% (12.85%),11.01% (06.85%),04.16% (02.88%),01.27% (00.96%),00.31% (00.25%),00.06% (00.05%)
9,,91.96% (11.99%),79.97% (18.07%),61.90% (20.35%),41.56% (17.71%),23.84% (12.24%),11.61% (06.83%),04.78% (03.12%),01.66% (01.17%),00.49% (00.37%),00.12% (00.09%),,94.65% (08.90%),85.76% (15.16%),70.60% (19.48%),51.12% (19.32%),31.80% (15.05%),16.75% (09.35%),07.40% (04.67%),02.72% (01.89%),00.83% (00.62%),00.21% (00.17%)
10,,93.45% (09.90%),83.55% (15.74%),67.81% (19.11%),48.70% (18.25%),30.45% (14.01%),16.44% (08.81%),07.63% (04.59%),03.03% (02.00%),01.03% (00.73%),00.30% (00.23%),,95.80% (07.05%),88.75% (12.62%),76.13% (17.43%),58.70% (18.95%),39.75% (16.48%),23.27% (11.61%),11.66% (06.69%),04.96% (03.18%),01.79% (01.25%),00.54% (00.40%)
11,,94.63% (08.18%),86.46% (13.60%),72.86% (17.60%),55.26% (18.17%),37.09% (15.28%),21.81% (10.63%),11.18% (06.20%),04.98% (03.05%),01.93% (01.28%),00.65% (00.46%),,96.69% (05.60%),91.09% (10.43%),80.66% (15.30%),65.36% (17.98%),47.38% (17.15%),30.23% (13.44%),16.79% (08.73%),08.06% (04.73%),03.33% (02.15%),01.18% (00.82%)
12,,95.59% (06.77%),88.82% (11.68%),77.15% (15.95%),61.19% (17.62%),43.57% (16.03%),27.54% (12.18%),15.36% (07.83%),07.53% (04.29%),03.24% (02.02%),01.22% (00.82%),,97.38% (04.46%),92.93% (08.58%),84.35% (13.25%),71.10% (16.62%),54.48% (17.16%),37.31% (14.73%),22.59% (10.60%),11.99% (06.44%),05.55% (03.32%),02.24% (01.46%)
